fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220530 210417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1109	TRUE	0.010332823529942	0.362197177299931	870	672	0.00660422917146822	87.6861443871436	0.0137472465714915	13549000	108
20220530 210440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	112	TRUE	0.0503179397387829	0.352180002675474	982	344	13.3587237579928	80.3063838036484	0.0134903539302494	13126000	109
20220530 210506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	176	TRUE	0.0504715725715275	0.967974736600654	1099	1019	0.0882979967233353	97.5127059181803	0.0125776399609794	13093000	110
20220530 210535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	185	TRUE	0.0553143318898141	0.334067737471193	4727	1024	0.0260665926329698	4.95860158273767	0.0201423801355219	12899000	111
20220530 210548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	38	TRUE	0.0641906592928489	0.327225446945948	8000	34	85.1187660388103	0.150099793509618	0.0128487429722847	11538000	112
20220530 210559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	40	TRUE	0.299956440884621	0.302733991617658	3	503	15.8733430122218	64.4992564979801	0.0270763818172121	12252000	113
20220530 210610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	43	TRUE	0.242648607799772	0.354255246069054	7998	165	7.15276530064535	25.3688320375825	0.0160821416546282	12814000	114
20220530 210722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	328	TRUE	0.010962438008652	0.343891187731483	1129	22	0.0332889776489419	25.5337396910685	0.0141462554184792	13443000	115
20220530 210755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	188	TRUE	0.0304670642771964	0.310077080179838	1465	16	9.52340800599639	0.326911558628506	0.0260094313452412	11863000	116
20220530 210843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	328	TRUE	0.0502322680779642	0.505147904572901	1871	652	4.23854924611585	87.2790687748493	0.0126936691806742	13287000	117
20220530 210918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	373	TRUE	0.0518274270788655	0.200542233926335	7996	481	8.43998823966472	0.074119521917711	0.0162705863143662	13267000	118
20220530 211025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	534	TRUE	0.0106345215582106	0.643953133751101	1065	18	9.66759258025297	29.7240400636896	0.0154644681847229	13249000	119
20220530 211037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	36	TRUE	0.25220404744079	0.540745247337878	7996	1021	0.0473252983591021	31.3938781393783	0.0173137512855468	13129000	120
20220530 211045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	30	TRUE	0.296439740733632	0.655325655334559	7982	85	0.149741121771054	85.0054195227496	0.0165323828956595	13368000	121
20220530 211106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	250	TRUE	0.168581476226881	0.649623380634614	7997	84	6.98076390223799	96.2389231518415	0.0163858507983514	13257000	122
20220530 211120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	67	TRUE	0.299767257057367	0.665609604987306	6688	17	11.6463468563938	71.6709845496245	0.0159926023535733	13128000	123
20220530 211136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	89	TRUE	0.29955576913579	0.345013377834146	2882	18	5.79110227361728	69.4668400674248	0.0187704181942414	13268000	124
20220530 211154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	147	TRUE	0.0604130917015027	0.727712179945062	4424	16	5.29553795834701	76.0695333455576	0.0164280279095043	13166000	125
20220530 211203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	74	TRUE	0.277300648059565	0.841669861659707	7897	149	19.1180610733699	99.9570189295004	0.0198467100372824	12710000	126
20220530 211219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	63	TRUE	0.171453444931172	0.562544103151653	6958	667	0.0399436552680292	12.9627066671839	0.0164365506109647	13051000	127
20220530 211236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	29	TRUE	0.0497271754968898	0.372905478503613	1	1017	66.8515504762279	93.2671582678511	0.00836319208985656	12365000	128
20220530 211306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	198	TRUE	0.0131310958593806	0.99959702896089	1398	57	58.9757855455158	98.3904451547536	0.00835848224532086	11665000	129
20220530 211319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	86	TRUE	0.0456756519778461	0.874386302186472	245	1023	82.2520399260217	55.5119515038659	0.00840714108295997	10959000	130
20220530 211334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	64	TRUE	0.298800662951669	0.522536972701416	1034	485	5.98899703537662	53.8953022051316	0.0184352347075609	12914000	131
20220530 211359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	87	TRUE	0.0217575945631455	0.211405651369115	4908	512	79.0234672718437	59.8508587044086	0.00834951645787255	11316000	132
20220530 211413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	138	TRUE	0.0643416119654727	0.981740445559034	7992	1021	46.550902701185	64.2977484519812	0.0273980220464564	10884000	133
20220530 211430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	92	TRUE	0.0551330722605142	0.228325044448381	9	1024	62.2512270660048	66.4594646387742	0.0162750546675598	11743000	134
20220530 211438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	11	TRUE	0.299712000757135	0.202615466606501	7970	961	79.3075264418858	0.663401536381794	0.0141619972738816	11472000	135
20220530 211508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	191	TRUE	0.0115441796451904	0.99497451726664	3260	62	58.1542282849565	25.0257182960381	0.0215101127927016	11188000	136
20220530 211545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	427	TRUE	0.0789429463966856	0.281107258110998	7999	1021	21.965261537928	93.3812513569885	0.0162809731848695	13110000	137
20220530 211617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	304	TRUE	0.0708033861273544	0.316914160360042	8000	136	19.5951498881855	93.3267763879606	0.0141855650135125	12735000	138
20220530 211635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	130	TRUE	0.113470634049361	0.27269325819922	7881	1024	21.5290587884178	99.8024119522736	0.0267844206416024	12230000	139
20220530 211652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	135	TRUE	0.138085188803058	0.612436199623649	7984	972	13.9717214176754	89.7252524055724	0.0187397770456446	12950000	140
20220530 211701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	7	TRUE	0.235896253443419	0.383013250499006	7992	1022	75.5794014940205	99.9649167399244	0.00975981028546762	10989000	141
20220530 211712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	63	TRUE	0.261960264612406	0.224621420804829	7992	1012	14.4507456177025	0.177274209767267	0.0169689666898941	13054000	142
20220530 211740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	148	TRUE	0.0445331222561352	0.397241981817031	38	19	22.6465743487075	89.5487484525357	0.0215039409902976	12670000	143
20220530 211748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	27	TRUE	0.176661309575203	0.93349878239153	2	1020	49.8560752355787	99.9773468453295	0.0121045974974826	11790000	144
20220530 211801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	114	TRUE	0.272396041479698	0.201248154776103	1835	1022	80.6173295809162	31.3664745976104	0.00837268174258911	10476000	145
20220530 211810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	36	TRUE	0.232272157712114	0.825719678332931	7991	257	0.0104382405574899	34.4321928107928	0.0286017911781243	11948000	146
20220530 211820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	40	TRUE	0.298121701767084	0.214465473129846	5237	890	1.37015376364987	77.3505401670926	0.0253355020566307	12447000	147
20220530 211838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	98	TRUE	0.100612778618815	0.322278475427313	7984	16	8.40275220297494	0.272758370972165	0.0150411283912824	13333000	148
20220530 211849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	50	TRUE	0.24350181853514	0.997977548179652	2638	612	0.0598059698518921	95.0708835504725	0.0387921876647227	10033000	149
20220530 211901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	47	TRUE	0.294173125036029	0.340143060626413	3163	621	1.12194452629607	74.6970917084292	0.0165045854386268	13266000	150
20220530 211911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	29	TRUE	0.293584329790361	0.207262601096523	7618	993	0.349800115742281	55.7666302853005	0.0349778720947658	10323000	151
20220530 211924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	70	TRUE	0.298860621449747	0.319010912102065	3180	1022	8.82740672496152	65.936069162682	0.019584197820331	13129000	152
20220530 211934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	18	TRUE	0.289168836441444	0.630475876827318	2524	1022	0.31065429608181	1.22711186854249	0.0179211642113622	12455000	153
20220530 211952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	162	TRUE	0.0642919330697662	0.883563512863834	7895	16	2.43217174120104	99.9296485363049	0.0272012075713355	11906000	154
20220530 212004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	45	TRUE	0.288064520740931	0.35899299933387	5784	1019	2.86008094516186	94.5855854478379	0.0212917199875434	12950000	155
20220530 212021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	108	TRUE	0.285464598966386	0.330823872594162	3056	16	5.14387863178033	95.0401058812648	0.00867230398888153	12074000	156
20220530 212034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	76	TRUE	0.232720396580152	0.321979648028519	2845	1021	26.4003908781538	93.7611382859757	0.0213969781916427	12692000	157
20220530 212043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	25	TRUE	0.297929294197645	0.229510644634984	3485	967	22.0152451823393	0.24167978031545	0.0281138600243024	12270000	158
20220530 212057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	114	TRUE	0.0738177759668703	0.95649761376915	5835	564	12.8563535162701	12.3434497014173	0.0300171066084658	11705000	159
20220530 212111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	42	TRUE	0.299157236187136	0.921006781523323	236	578	0.0278069558468361	98.8821520390907	0.0106375351051697	12968000	160
20220530 212123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	26	TRUE	0.290707683001335	0.815543752452896	366	748	0.0480641539261392	61.5702914204249	0.0134112373614922	13353000	161
20220530 212204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	187	TRUE	0.0445791581810098	0.356183407708447	1311	1023	0.528579425710197	39.4961404104106	0.0267617191438433	12130000	162
20220530 212322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	548	TRUE	0.0200906717483791	0.518992939389138	282	16	6.45084216184134	92.6985034940544	0.00958912853694366	12890000	163
