fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220602 171033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0487333614465315	0.981126005994156	7677	343	0.0426992141981221	102218000	HT6010	165	1658475	19
20220602 171329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.230831869620015	0.534810945084319	17076	1745	0.0391944318000848	104517000	HT6010	165	1658475	20
20220602 175237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	807	TRUE	0.0100959427531827	0.507318366117248	6756	1147	0.0159502769230616	132493000	HT6010	165	1658475	21
20220602 181746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	857	TRUE	0.0100507736187674	0.686090751356839	16170	606	0.0146578180670076	132214000	HT6010	165	1658475	22
20220602 184853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	896	TRUE	0.0100281449198327	0.592377193770674	14495	1504	0.0146228847884718	132310000	HT6010	165	1658475	23
20220602 192736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	979	TRUE	0.0100047265427599	0.509718912109809	18810	1164	0.0157262970340026	132641000	HT6010	165	1658475	24
20220602 195707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	768	TRUE	0.0100021775394056	0.204578246025518	5056	1607	0.0153476450159488	133021000	HT6010	165	1658475	25
20220602 201006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	977	TRUE	0.0104254679914254	0.217693878586579	7571	1581	0.014340488286513	86946000	HT6010	136	1206056	25
20220602 201247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0705525075692064	0.377146789136747	842	72	0.0199092598532479	78808000	HT6010	136	1206056	26
20220602 201410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.229511069714441	0.759891543054953	18181	1701	0.0486628054667187	58169000	HT6010	136	1206056	27
20220602 201931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	229	TRUE	0.0463734177138976	0.579703281647526	17015	1288	0.0158394436605107	85204000	HT6010	136	1206056	28
20220602 202140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.173337348864507	0.945038700176031	1664	1790	0.0229603195028903	67908000	HT6010	136	1206056	29
20220602 202313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.204954862856697	0.624325870827027	16769	120	0.00932201003624747	75191000	HT6010	136	1206056	30
20220602 202447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.182440313345196	0.705737392434292	16610	1724	0.00976064784845221	75607000	HT6010	136	1206056	31
20220602 202950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1047	TRUE	0.0102584367693123	0.290326831591605	16065	1070	0.0161143699982562	133331000	HT6010	165	1658475	26
20220602 203018	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0434531073603244	0.596753735272028	7734	1440	0.0221183627169133	81536000	HT6010	136	1206056	32
20220602 203153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.166196001872576	0.223403082074597	5026	434	0.0210152504418802	77818000	HT6010	136	1206056	33
20220602 203358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.105562120550752	0.211472324731573	5281	1888	0.0270486941070412	76303000	HT6010	136	1206056	34
20220602 203559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.143805604823248	0.359885554086231	2252	1021	0.0492406624134552	52900000	HT6010	136	1206056	35
20220602 203745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.234683495505112	0.409953269596957	13259	1862	0.0187003913673204	79191000	HT6010	136	1206056	36
20220602 203944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.255573259713631	0.56234839789141	1424	1782	0.0248070595311971	60078000	HT6010	136	1206056	37
20220602 204351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	0.0528245532952668	0.369525785966031	1655	1012	0.0303640478788099	70096000	HT6010	136	1206056	38
20220602 204537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.214926326793984	0.452418574082106	14128	885	0.0331005504264225	70257000	HT6010	136	1206056	39
20220602 204758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.20404092272986	0.506595316703431	981	1341	0.0165403553202729	68793000	HT6010	136	1206056	40
20220602 204943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.135338151274524	0.797352642393671	7845	950	0.0182555103342359	83096000	HT6010	136	1206056	41
